wl,A,E,D65
761,232.615,1,48.4569
762,233.112,1,50.4956
763,233.606,1,52.5344
764,234.099,1,54.5731
765,234.589,1,56.6118
766,235.078,1,58.6505
767,235.564,1,60.6892
768,236.047,1,62.728
769,236.529,1,64.7667
770,237.008,1,66.8054
771,237.485,1,66.4631
772,237.959,1,66.1209
773,238.432,1,65.7786
774,238.902,1,65.4364
775,239.37,1,65.0941
776,239.836,1,64.7518
777,240.299,1,64.4096
778,240.76,1,64.0673
779,241.219,1,63.7251
780,241.675,1,63.3828
