wl,CIE1931_x,CIE1931_y,CIE1931_z,CIE1964_x,CIE1964_y,CIE1964_z
465,0.2511000000,0.0739000000,1.5281000000,0.2540850000,0.1527610000,1.5549000000
466,0.2408475000,0.0770160000,1.4861114000,0.2433920000,0.1581020000,1.5122000000
467,0.2298512000,0.0802664000,1.4395215000,0.2321870000,0.1639410000,1.4673000000
468,0.2184072000,0.0836668000,1.3898799000,0.2204880000,0.1703620000,1.4199000000
469,0.2068115000,0.0872328000,1.3387362000,0.2081980000,0.1774250000,1.3700000000
470,0.1953600000,0.0909800000,1.2876400000,0.1956180000,0.1851900000,1.3175600000
471,0.1842136000,0.0949175500,1.2374223000,0.1830340000,0.1930250000,1.2624000000
472,0.1733273000,0.0990458400,1.1878243000,0.1702220000,0.2003130000,1.2050000000
473,0.1626881000,0.1033674000,1.1387611000,0.1573480000,0.2071560000,1.1466000000
474,0.1522833000,0.1078846000,1.0901480000,0.1446500000,0.2136440000,1.0880000000
475,0.1421000000,0.1126000000,1.0419000000,0.1323490000,0.2199400000,1.0302000000
476,0.1321786000,0.1175320000,0.9941976000,0.1205840000,0.2261700000,0.9738300000
477,0.1225696000,0.1226744000,0.9473473000,0.1094560000,0.2324670000,0.9194300000
478,0.1132752000,0.1279928000,0.9014531000,0.0990420000,0.2390250000,0.8674600000
479,0.1042979000,0.1334528000,0.8566193000,0.0893880000,0.2459970000,0.8182800000
480,0.0956400000,0.1390200000,0.8129501000,0.0805070000,0.2535890000,0.7721250000
481,0.0872995500,0.1446764000,0.7705173000,0.0720340000,0.2618760000,0.7282900000
482,0.0793080400,0.1504693000,0.7294448000,0.0637100000,0.2706430000,0.6860400000
483,0.0717177600,0.1564619000,0.6899136000,0.0556940000,0.2796450000,0.6455300000
484,0.0645809900,0.1627177000,0.6521049000,0.0481170000,0.2886940000,0.6068500000
485,0.0579500100,0.1693000000,0.6162000000,0.0410720000,0.2976650000,0.5700600000
486,0.0518621100,0.1762431000,0.5823286000,0.0346420000,0.3064690000,0.5352200000
487,0.0462815200,0.1835581000,0.5504162000,0.0288960000,0.3150350000,0.5023400000
488,0.0411508800,0.1912735000,0.5203376000,0.0238760000,0.3233350000,0.4714000000
489,0.0364128300,0.1994180000,0.4919673000,0.0196280000,0.3313660000,0.4423900000
490,0.0320100000,0.2080200000,0.4651800000,0.0161720000,0.3391330000,0.4152540000
491,0.0279172000,0.2171199000,0.4399246000,0.0133000000,0.3478600000,0.3900240000
492,0.0241444000,0.2267345000,0.4161836000,0.0107590000,0.3583260000,0.3663990000
493,0.0206870000,0.2368571000,0.3938822000,0.0085420000,0.3700010000,0.3440150000
494,0.0175404000,0.2474812000,0.3729459000,0.0066610000,0.3824640000,0.3226890000
495,0.0147000000,0.2586000000,0.3533000000,0.0051320000,0.3953790000,0.3023560000
496,0.0121617900,0.2701849000,0.3348578000,0.0039820000,0.4084820000,0.2830360000
497,0.0099199600,0.2822939000,0.3175521000,0.0032390000,0.4215880000,0.2648160000
498,0.0079672400,0.2950505000,0.3013375000,0.0029340000,0.4346190000,0.2478480000
499,0.0062963460,0.3085780000,0.2861686000,0.0031140000,0.4476010000,0.2323180000
500,0.0049000000,0.3230000000,0.2720000000,0.0038160000,0.4607770000,0.2185020000
501,0.0037771730,0.3384021000,0.2588171000,0.0050950000,0.4743400000,0.2058510000
502,0.0029453200,0.3546858000,0.2464838000,0.0069360000,0.4882000000,0.1935960000
503,0.0024248800,0.3716986000,0.2347718000,0.0092990000,0.5023400000,0.1817360000
504,0.0022362930,0.3892875000,0.2234533000,0.0121470000,0.5167400000,0.1702810000
505,0.0024000000,0.4073000000,0.2123000000,0.0154440000,0.5313600000,0.1592490000
506,0.0029255200,0.4256299000,0.2011692000,0.0191560000,0.5461900000,0.1486730000
507,0.0038365600,0.4443096000,0.1901196000,0.0232500000,0.5611800000,0.1386090000
508,0.0051748400,0.4633944000,0.1792254000,0.0276900000,0.5762900000,0.1290960000
509,0.0069820800,0.4829395000,0.1685608000,0.0324440000,0.5915000000,0.1202150000
510,0.0093000000,0.5030000000,0.1582000000,0.0374650000,0.6067410000,0.1120440000
511,0.0121494900,0.5235693000,0.1481383000,0.0429560000,0.6221500000,0.1047100000
512,0.0155358800,0.5445120000,0.1383758000,0.0491140000,0.6378300000,0.0981960000
513,0.0194775200,0.5656900000,0.1289942000,0.0559200000,0.6537100000,0.0923610000
514,0.0239927700,0.5869653000,0.1200751000,0.0633490000,0.6696800000,0.0870880000
515,0.0291000000,0.6082000000,0.1117000000,0.0713580000,0.6856600000,0.0822480000
516,0.0348148500,0.6293456000,0.1039048000,0.0799010000,0.7015500000,0.0777440000
517,0.0411201600,0.6503068000,0.0966674800,0.0889090000,0.7172300000,0.0734560000
518,0.0479850400,0.6708752000,0.0899827200,0.0982930000,0.7325700000,0.0692680000
519,0.0553786100,0.6908424000,0.0838453100,0.1079490000,0.7474600000,0.0650600000
520,0.0632700000,0.7100000000,0.0782499900,0.1177490000,0.7617570000,0.0607090000
521,0.0716350100,0.7281852000,0.0732089900,0.1278390000,0.7753400000,0.0564570000
522,0.0804622400,0.7454636000,0.0686781600,0.1384500000,0.7882200000,0.0526090000
523,0.0897399600,0.7619694000,0.0645678400,0.1495160000,0.8004600000,0.0491220000
524,0.0994564500,0.7778368000,0.0607883500,0.1610410000,0.8121400000,0.0459540000
525,0.1096000000,0.7932000000,0.0572500100,0.1729530000,0.8233300000,0.0430500000
526,0.1201674000,0.8081104000,0.0539043500,0.1852090000,0.8341200000,0.0403680000
527,0.1311145000,0.8224962000,0.0507466400,0.1977550000,0.8446000000,0.0378390000
528,0.1423679000,0.8363068000,0.0477527600,0.2105380000,0.8548700000,0.0353840000
529,0.1538542000,0.8494916000,0.0448985900,0.2234600000,0.8650400000,0.0329490000
530,0.1655000000,0.8620000000,0.0421600000,0.2364910000,0.8752110000,0.0304510000
531,0.1772571000,0.8738108000,0.0395072800,0.2496330000,0.8853700000,0.0280290000
532,0.1891400000,0.8849624000,0.0369356400,0.2629720000,0.8953700000,0.0258620000
533,0.2011694000,0.8954936000,0.0344583600,0.2765150000,0.9051500000,0.0239200000
534,0.2133658000,0.9054432000,0.0320887200,0.2902690000,0.9146500000,0.0221740000
535,0.2257499000,0.9148501000,0.0298400000,0.3042130000,0.9238100000,0.0205840000
536,0.2383209000,0.9237348000,0.0277118100,0.3183610000,0.9325500000,0.0191270000
537,0.2510668000,0.9320924000,0.0256944400,0.3327050000,0.9408100000,0.0177400000
538,0.2639922000,0.9399226000,0.0237871600,0.3472320000,0.9485200000,0.0164030000
539,0.2771017000,0.9472252000,0.0219892500,0.3619260000,0.9556000000,0.0150640000
540,0.2904000000,0.9540000000,0.0203000000,0.3767720000,0.9619880000,0.0136760000
541,0.3038912000,0.9602561000,0.0187180500,0.3916830000,0.9675400000,0.0123080000
542,0.3175726000,0.9660074000,0.0172403600,0.4065940000,0.9722300000,0.0110560000
