wl,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm
567,8.129195443340191e-62,4.866281606754347e-47,1.3811924165247062e-28,5.3566724012292823e-17,5.723230995524847e-9,0.004203837283059886,0.7445657225857412,0.19270862683002543,1.1764289173610516e-5,7.865447604764374e-15,3.2955769378597474e-30,8.146191949303115e-48,5.320680548295795e-60,4.6461557178137256e-86
568,3.614997149784758e-62,2.1656351674486503e-47,6.204185837628811e-29,2.4829030991197814e-17,2.94425163402408e-9,0.002918811216936627,0.6798269702390973,0.2334443725708148,2.029724435252724e-5,1.6530488969602227e-14,7.323482257754324e-30,1.82989540182872e-47,1.1958498437998455e-59,1.0451987651855428e-85
569,9.060381174862169e-63,5.446224054286357e-48,1.6253095400070394e-29,7.365985313401858e-18,1.1932881816822098e-9,0.001969730100542245,0.614157478594969,0.2779194122077361,3.160459968762931e-5,2.8533078222960056e-14,1.2952420585099264e-29,3.250939645818086e-47,2.1250003365134075e-59,1.857994530059809e-85
570,2.3957999999999997e-65,3.3622e-50,7.7792000000000005e-31,1.2166e-18,4.8465e-10,0.0013811,0.55277,0.32458,4.5593e-5,4.3855e-14,2.0180999999999997e-29,5.0777e-47,3.3194999999999996e-59,2.903e-85
571,1.5334577241623996e-65,2.152281484903794e-50,4.9877793919565454e-31,7.844363010903207e-19,3.1934319715262305e-10,0.0010108243719947284,0.49380074124642986,0.37644894845952714,7.494158000054732e-5,1.5056026516332615e-13,2.846499304941965e-28,4.930895781407574e-45,4.9827119516503886e-57,2.632692170119539e-82
572,8.627194539659722e-66,1.2111417547675553e-50,2.8149558950990094e-31,4.472107362787173e-19,1.8908158248041774e-10,7.029794006742959e-4,0.4337480892850994,0.43539550943097505,1.3160965471200258e-4,4.3587797598925646e-13,1.061615028300133e-27,1.9529547051018978e-44,1.980409204209657e-56,1.0519681059118209e-81
573,3.835913406883448e-66,5.388024391794193e-51,1.2611114022632027e-31,2.0516923092195354e-19,9.423606923190091e-11,4.6133024335649904e-4,0.375368066700554,0.49813559617265946,2.144241394231842e-4,8.985375542335237e-13,2.350497560858971e-27,4.384506122992658e-44,4.449639415671755e-56,2.366378506305711e-81
574,9.607953560714465e-67,1.3528516772752175e-51,3.266278062849305e-32,5.855771037679328e-20,3.5177570655589447e-11,2.896420573591347e-4,0.32141669607733914,0.5613851219428959,3.222119494229105e-4,1.5372684216518605e-12,4.150718795611872e-27,7.787576873922279e-44,7.905867718089235e-56,4.206491957799733e-81
575,1.9019e-69,6.1157e-54,1.1887e-33,7.622099999999999e-21,1.2277e-11,1.9168e-4,0.27465,0.62186,4.538e-4,2.3508e-12,6.4617e-27,1.2162e-43,1.2348999999999999e-55,6.5723e-81
576,1.217302528338551e-69,3.9146773233198237e-54,7.618081037410543e-34,4.90532692057777e-21,8.03208521815196e-12,1.36668115639433e-4,0.2331936367556648,0.6838504514663275,6.911602239995832e-4,6.8473093753620485e-12,7.197540926514696e-26,8.83510100698935e-42,1.4344376457325467e-53,4.574140010848549e-78
577,6.848214331244096e-70,2.2026485138521325e-54,4.295843423815801e-34,2.7871365701590684e-21,4.698042789323018e-12,9.161163563920426e-5,0.19417413179845758,0.7495599240550106,0.0011099161008442972,1.8491126036808202e-11,2.632609578614176e-25,3.487567769703579e-41,5.6905971137162365e-53,1.827145815752474e-77
578,3.044603667409927e-70,9.796423237245286e-55,1.9207245915157854e-34,1.2686817594514819e-21,2.2820187514180942e-12,5.694749781925902e-5,0.15884880846341798,0.81257417091053,0.0016993718656892194,3.721520801057333e-11,5.8013348182511475e-25,7.823935188358755e-41,1.2780477358833651e-52,4.109833521877665e-77
579,7.62229815717172e-71,2.456875050646181e-55,4.931619728105127e-35,3.5111529916259703e-22,7.911591423421137e-13,3.311263999954253e-5,0.12847499008558558,0.8664789451773662,0.002448831753689427,6.29525133228923e-11,1.0224081171925411e-24,1.389221253800929e-40,2.2703728335967383e-52,7.305457967335237e-77
580,1.1293e-73,8.1281e-58,1.3593e-36,3.559e-23,2.3261e-13,2.0544e-5,0.10431,0.90486,0.0033476,9.5636e-11,1.5899e-24,2.1691999999999997e-40,3.546e-52,1.1414e-76
581,7.227904304426095e-74,5.2025951625817076e-58,8.708424544720712e-37,2.287231185125179e-23,1.5135949602791726e-13,1.4332643941636082e-5,0.08454407485275167,0.9329824722018301,0.004768654195366833,2.406019983819418e-10,1.408454797894147e-23,1.1805917319819622e-38,3.189809578167609e-50,6.097231222202189e-74
582,4.066090391606979e-74,2.9270837541363067e-58,4.907625949919932e-37,1.2962827590065021e-23,8.770019969200274e-14,9.304042004276794e-6,0.06682074635159382,0.9588556812270588,0.007045149981479563,6.01451479103929e-10,5.027820127457692e-23,4.6394850248515553e-38,1.2623843136111894e-49,2.4345331113275898e-73
583,1.8075744825748163e-74,1.3015936974000512e-58,2.1909785827587906e-37,5.865572403252365e-24,4.173474534212957e-14,5.496738096099464e-6,0.05157728042406014,0.9801816541513725,0.010106658669908876,1.1755143606349455e-9,1.1012554058074164e-22,1.0397659251730166e-37,2.8336555904972375e-49,5.4755380993248526e-73
584,4.523727983617685e-75,3.2615291510919656e-59,5.588568103984341e-38,1.5845714776264697e-24,1.356576732817093e-14,2.949276125281428e-6,0.03925094299768431,0.9946624180504575,0.013882751572225457,1.9601205614439745e-9,1.935812465912709e-22,1.8454401785739185e-37,5.032694311588856e-49,9.732704818214745e-73
585,5.0156e-78,7.8933e-62,1.1635e-39,1.2385000000000002e-25,3.2959e-15,1.7002e-6,0.030279,1,0.018303,2.9526e-9,3.006e-22,2.8808999999999998e-37,7.8594e-49,1.5205999999999999e-72
586,3.210111668933595e-78,5.052145677151298e-62,7.452105703683261e-40,7.950984960927253e-26,2.135848596175068e-15,1.165185415945588e-6,0.02354206310045833,0.9900213382229583,0.024534526432714213,6.531581369328025e-9,2.1362925521023367e-21,1.1771298487632414e-35,5.480458829757618e-47,6.235358124456076e-70
587,1.8058187764892942e-78,2.842274710491905e-62,4.197663659565663e-40,4.4976425654847517e-26,1.228627470908539e-15,7.359369275815589e-7,0.017704561870367758,0.9636380146688749,0.03356947934491014,1.5024008871681055e-8,7.400111451500083e-21,4.5984552400752106e-35,2.162175866111555e-46,2.4883356515379546e-69
