serial,lux,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,gain
206A31924656,0.598509168,160877.8566729811,53940.499505502885,48886.70639324251,58334.5714580549,45507.126134074475,48363.31864228813,46757.23157422802,47455.91518507043,96186.94046100912,48180.92003218399,109430.73519091553,57201.226090122356,110570.09137495961,163115.37178272332,3.8
206A31BA4656,0.598509168,160877.8566729811,53940.499505502885,48886.70639324251,58334.5714580549,45507.126134074475,48363.31864228813,46757.23157422802,47455.91518507043,96186.94046100912,48180.92003218399,109430.73519091553,57201.226090122356,110570.09137495961,163115.37178272332,3.8
208931924656,0.598509168,160877.8566729811,53940.499505502885,48886.70639324251,58334.5714580549,45507.126134074475,48363.31864228813,46757.23157422802,47455.91518507043,96186.94046100912,48180.92003218399,109430.73519091553,57201.226090122356,110570.09137495961,163115.37178272332,3.8
208F31924656,0.590231456519869,171034.77697400475,54333.49779913448,48211.55332952477,60131.37443052232,45885.7324808276,48300.35622565883,49969.94429974081,51298.34497831145,93465.44403845181,53971.001425018076,99366.02685053129,58344.51080432587,100331.19258891112,142221.36161013952,3.8
205631BA4656,0.7407099959776816,54156.16140018232,16484.66818070336,14593.690478636468,17225.199552388163,13626.53875609381,14288.699813295625,13200.983908745238,13542.532690702294,27407.013405903548,13736.920653114623,31475.482940029793,16138.117191435285,30898.988665144076,40639.66994752208,1
205831BB4656,0.690064457269892,190227.55860762717,58550.051317563164,53403.74239256231,60731.98919200328,47961.394597964936,52374.94099300108,55122.80762994883,56751.84747727205,95823.32683231065,56794.276555772885,119586.49639629523,67083.70444165578,122692.31910981488,182727.15571331454,3.8000037252568077
205A31BA4656,0.6945434436663949,162088.6564400885,62203.08133752957,58029.05367755158,71541.53033801756,53704.98223387504,60675.63204971198,44508.71535309012,45846.60986847012,104622.50644241237,46159.30887927598,129831.92099985767,54687.935120004186,124979.45278750185,194038.9908142634,3.8477640401602784
205A31BB4656,0.6111293814839103,170807.65558430096,55827.74265444259,50722.47792382933,59324.47803636652,46204.58492624015,49934.11915389725,39959.24264549325,40411.152123325,92734.66303035666,41534.336231849826,108949.54358947178,47982.08147716649,104452.62470854518,162143.77711608406,3.820288310904034
205E31BA4656,0.6919956738696442,165552.6588641954,53405.39459388968,53128.954048525164,63207.39733796608,47328.685295366595,52887.78497094905,47408.898644200744,48056.69070550065,99225.69693235401,48078.53786000023,117652.59028806319,55889.00556415627,114530.18126936324,165062.64832079373,3.7559645670919024
205E31BB4656,0.6805987703822406,164465.83022446744,53367.11445973462,49786.999136915954,62655.78094413217,46031.10951489732,50896.864779574724,45671.79800188573,47339.76615942012,98315.09932019838,48109.70987676644,103421.86761157178,54769.93880308933,108396.12014513783,166530.06113969878,3.835737794905996
206031BB4656,0.7160389091844971,191959.67124751705,60196.61078193263,56873.07858968801,67660.23327518039,50325.24881853773,56251.52648500696,53274.32007969977,54132.81361303497,99812.17314125836,54158.95261528094,113504.56729332451,64927.91512350087,114001.88770785797,170400.91289954525,3.804782965952185
206231BB4656,0.6856453952602736,189528.73867538024,58624.445925076056,53028.738241035,61430.80869250641,49514.912616195725,52997.31914097912,42789.85746555199,43065.84624726156,94043.88739290586,44570.02711358605,109640.91610604974,53162.730554031725,116049.96274068367,173068.61768488563,3.773097231730123
206431BA4656,0.6831527072618113,170610.31253627047,54303.24105382092,47402.3678421759,55910.18530556557,45004.06251516042,47491.94564084637,41112.44367859395,42691.9163443644,95663.30746911558,42701.89337691435,105419.55387845836,49912.87226222583,106007.3122472588,164693.28085713251,3.7849603077173466
206E31BA4656,0.6993505377800177,149489.7961350421,48074.65699784584,44523.68534418617,52673.267513629035,41224.57114550573,43324.073739131076,46025.11660892085,46796.03696738654,97284.5297043882,47741.97665093446,100493.83390100993,54934.85446343801,109526.69986448198,146776.35891414783,3.7996520018280906
207231BA4656,0.698785574543136,178987.4523654583,54634.906410791264,50849.31879315394,60587.34907292454,47310.312371099295,49711.47113516295,50521.814854074,50851.52039422579,95895.5888559571,51109.13588977042,116975.68062823532,60306.862942793174,112653.9401178177,156465.8570044767,3.797245612065775
207431BA4656,0.7127890945988493,177330.44516156148,59967.06789900311,52718.67471574356,61467.62100361593,48471.46207086286,51816.58747843743,47572.961710656484,48633.02404203088,93826.32087536721,49720.44820934446,107404.10583596435,56627.63944774289,109463.29733709904,147213.4610146681,3.781621713990076
207831BA4656,0.6921878440613316,177305.38584904044,61611.38864084913,53914.8489876402,64581.6566454658,50351.71697534228,54449.15501528114,52213.192412931734,51423.31603632853,94051.97044551611,54664.95188609084,113669.57598995909,64132.64974937408,105871.39957296713,143813.71190396568,3.7690927892605384
207C31BA4656,0.7185828473907617,44067.22275079053,15918.892299171574,14039.823116963053,16865.855971493642,13097.313799473144,14307.697715431252,13372.889565146583,13394.45528182678,26209.414342792857,13671.209267798982,33423.2776456439,16447.39167420871,30197.604440637628,48205.240412969695,1
207E31924656,0.7201529734407738,46885.39769969018,14977.27542242534,13985.142056211695,16593.256894779475,13025.08190355563,13763.66928777668,12443.967350458872,12819.29888575248,25711.97723026625,13241.348160705227,27529.1932054583,15536.65364923105,29088.364492755474,41413.606218910616,1
208431924656,0.7175263505024707,169261.793415796,55990.35476464519,50826.83998744939,63140.76220971245,48375.827852356364,52837.33803049234,41944.169159142824,42729.534043978376,98500.91576141724,43147.57796146923,130658.04691127235,49738.40312535786,121263.6027564303,198281.1473482083,3.7947245099893383
208731924656,0.6533482337189382,161306.9895634809,54606.973857500176,49630.82914127629,58618.83442455917,44913.42164761419,49094.8951833828,42580.233758679446,43896.95123731253,84011.98912788389,44764.735223156735,95322.9430062263,52209.82323182566,97798.25463720688,137396.89859069377,3.838889443386491
209131924656,0.7255440879466137,183800.40225417167,57249.01570020041,51409.68534334015,59563.07653655709,48092.25621203716,50026.28879631586,48075.86032788968,47958.294479961165,94284.28421852597,49619.8775057649,98978.04788554579,58367.55287076468,104043.09230401195,144051.19348205006,3.77897994972249
Unknown,0.631585982675209,162687.43212953265,53940.499505502885,48886.70639324251,58476.70294130704,45507.126134074475,48363.31864228813,46757.23157422802,47455.91518507043,95859.45784413387,48180.92003218399,108747.6648339027,57201.226090122356,109624.8568435866,162629.57444940368,3.8
