wl,CIE1924_v2,CIE2008_v2,CIE2008_v10
650,0.1070000000,0.1193120000,0.1084000000
651,0.1014762000,0.1128820000,0.1025010000
652,0.0961886400,0.1067110000,0.0968459000
653,0.0911229600,0.1008050000,0.0914394000
654,0.0862648500,0.0951665000,0.0862832000
655,0.0816000000,0.0897959000,0.0813769000
656,0.0771206400,0.0846904000,0.0767171000
657,0.0728255200,0.0798401000,0.0722940000
658,0.0687100800,0.0752337000,0.0680970000
659,0.0647697600,0.0708606000,0.0641155000
660,0.0610000000,0.0667104000,0.0603398000
661,0.0573962100,0.0627736000,0.0567605000
662,0.0539550400,0.0590418000,0.0533699000
663,0.0506737600,0.0555070000,0.0501603000
664,0.0475496500,0.0521614000,0.0471241000
665,0.0445800000,0.0489970000,0.0442538000
666,0.0417587200,0.0460058000,0.0415421000
667,0.0390849600,0.0431788000,0.0389804000
668,0.0365638400,0.0405075000,0.0365609000
669,0.0342004800,0.0379838000,0.0342760000
670,0.0320000000,0.0355998000,0.0321185000
671,0.0299626100,0.0333486000,0.0300819000
672,0.0280766400,0.0312233000,0.0281600000
673,0.0263293600,0.0292178000,0.0263470000
674,0.0247080500,0.0273260000,0.0246373000
675,0.0232000000,0.0255422000,0.0230257000
676,0.0218007700,0.0238612000,0.0215074000
677,0.0205011200,0.0222786000,0.0200784000
678,0.0192810800,0.0207902000,0.0187347000
679,0.0181206900,0.0193919000,0.0174727000
680,0.0170000000,0.0180794000,0.0162884000
681,0.0159037900,0.0168482000,0.0151777000
682,0.0148371800,0.0156919000,0.0141347000
683,0.0138106800,0.0146045000,0.0131541000
684,0.0128347800,0.0135806000,0.0122309000
685,0.0119200000,0.0126157000,0.0113611000
686,0.0110683100,0.0117070000,0.0105419000
687,0.0102733900,0.0108561000,0.0097750500
688,0.0095333110,0.0100648000,0.0090619600
689,0.0088461570,0.0093333800,0.0084029600
690,0.0082100000,0.0086612800,0.0077974600
691,0.0076237810,0.0080460500,0.0072432300
692,0.0070854240,0.0074811300,0.0067343800
693,0.0065914760,0.0069599900,0.0062650000
694,0.0061384850,0.0064770700,0.0058300900
695,0.0057230000,0.0060276800,0.0054253900
696,0.0053430590,0.0056081700,0.0050476300
697,0.0049957960,0.0052166900,0.0046951400
698,0.0046764040,0.0048517900,0.0043665900
699,0.0043800750,0.0045120100,0.0040606900
700,0.0041020000,0.0041959400,0.0037761400
701,0.0038384530,0.0039020600,0.0035115800
702,0.0035890990,0.0036283700,0.0032652100
703,0.0033542190,0.0033730100,0.0030353400
704,0.0031340930,0.0031343200,0.0028205000
705,0.0029290000,0.0029108600,0.0026193700
706,0.0027381390,0.0027015300,0.0024309600
707,0.0025598760,0.0025058000,0.0022548000
708,0.0023932440,0.0023232300,0.0020904900
709,0.0022372750,0.0021533300,0.0019375900
710,0.0020910000,0.0019955600,0.0017956000
711,0.0019535870,0.0018493200,0.0016639900
712,0.0018245800,0.0017139800,0.0015422000
713,0.0017035800,0.0015889000,0.0014296400
714,0.0015901870,0.0014734500,0.0013257500
715,0.0014840000,0.0013670200,0.0012299800
716,0.0013844960,0.0012689500,0.0011417300
717,0.0012912680,0.0011784200,0.0010602700
718,0.0012040920,0.0010946400,0.0009848850
719,0.0011227440,0.0010169400,0.0009149700
720,0.0010470000,0.0009447270,0.0008499900
721,0.0009765896,0.0008775170,0.0007895160
722,0.0009111088,0.0008150440,0.0007333040
723,0.0008501332,0.0007570760,0.0006811460
724,0.0007932384,0.0007033760,0.0006328290
725,0.0007400000,0.0006537050,0.0005881380
726,0.0006900827,0.0006078050,0.0005468390
727,0.0006433100,0.0005653440,0.0005086350
728,0.0005994960,0.0005260050,0.0004732400
729,0.0005584547,0.0004895060,0.0004404020
730,0.0005200000,0.0004555970,0.0004098930
731,0.0004839136,0.0004240550,0.0003815140
732,0.0004500528,0.0003946860,0.0003550900
733,0.0004183452,0.0003673180,0.0003304670
734,0.0003887184,0.0003417940,0.0003075030
735,0.0003611000,0.0003179740,0.0002860720
736,0.0003353835,0.0002957440,0.0002660720
737,0.0003114404,0.0002750560,0.0002474590
738,0.0002891656,0.0002558640,0.0002301920
739,0.0002684539,0.0002381140,0.0002142230
740,0.0002492000,0.0002217450,0.0001994950
741,0.0002313019,0.0002066710,0.0001859340
742,0.0002146856,0.0001927470,0.0001734070
743,0.0001992884,0.0001798310,0.0001617860
744,0.0001850475,0.0001678020,0.0001509640
745,0.0001719000,0.0001565570,0.0001408470
746,0.0001597781,0.0001460170,0.0001313640
747,0.0001486044,0.0001361530,0.0001224900
748,0.0001383016,0.0001269450,0.0001142060
749,0.0001287925,0.0001183670,0.0001064890
750,0.0001200000,0.0001103930,0.0000993144
751,0.0001118595,0.0001029910,0.0000926551
752,0.0001043224,0.0000961184,0.0000864722
753,0.0000973356,0.0000897332,0.0000807278
754,0.0000908459,0.0000837969,0.0000753872
755,0.0000848000,0.0000782744,0.0000704188
756,0.0000791467,0.0000731331,0.0000657934
757,0.0000738580,0.0000683414,0.0000614825
758,0.0000689160,0.0000638704,0.0000574601
759,0.0000643027,0.0000596939,0.0000537027
760,0.0000600000,0.0000557886,0.0000501893
761,0.0000559819,0.0000521351,0.0000469024
762,0.0000522256,0.0000487218,0.0000438317
763,0.0000487184,0.0000455385,0.0000409678
764,0.0000454475,0.0000425744,0.0000383012
765,0.0000424000,0.0000398188,0.0000358222
766,0.0000395610,0.0000372588,0.0000335190
767,0.0000369151,0.0000348747,0.0000313742
768,0.0000344487,0.0000326477,0.0000293707
769,0.0000321482,0.0000305614,0.0000274938
770,0.0000300000,0.0000286018,0.0000257308
771,0.0000279913,0.0000267584,0.0000240725
772,0.0000261136,0.0000250294,0.0000225170
773,0.0000243602,0.0000234137,0.0000210635
774,0.0000227246,0.0000219091,0.0000197099
775,0.0000212000,0.0000205126,0.0000184535
776,0.0000197786,0.0000192190,0.0000172898
777,0.0000184529,0.0000180180,0.0000162093
778,0.0000172169,0.0000168990,0.0000152026
779,0.0000160646,0.0000158531,0.0000142617
780,0.0000149900,0.0000148724,0.0000133795
